TransactionID,AccountID,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,PreviousTransactionDate,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Target
TX000015,AC00085,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,Student,2024-11-04 08:10:09,465.45,36.0,129.0,1.0,3465.54,2
TX000016,AC00270,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,Engineer,2024-11-04 08:12:19,555.8,19.0,158.0,1.0,1131.26,1
TX000017,AC00317,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,Student,2024-11-04 08:07:35,492.93,39.0,234.0,1.0,5109.97,2
TX000018,AC00359,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,Engineer,2024-11-04 08:11:51,18.68,59.0,106.0,1.0,7948.369999999999,0
TX000019,AC00242,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,Retired,2024-11-04 08:12:01,71.48,18.0,169.0,1.0,6568.59,2
TX000020,AC00285,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,Student,2024-11-04 08:09:20,59.32,71.0,37.99999999999999,1.0,5750.89,2
TX000021,AC00002,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,Retired,2024-11-04 08:09:24,85.77,38.0,93.0,1.0,9146.19,0
TX000022,AC00014,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,Doctor,2024-11-04 08:08:13,52.2,39.0,120.0,1.0,8974.93,0
TX000023,AC00095,2023-06-06 18:54:15,Debit,Atlanta,,133.63.96.21,M022,Online,Engineer,2024-11-04 08:07:01,345.84,22.0,142.0,3.0,1402.5,1
TX000024,AC00453,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,Student,2024-11-04 08:07:04,145.54,21.0,96.0,1.0,1930.96,1
TX000025,AC00241,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,Student,2024-11-04 08:07:09,7.49,65.0,276.0,1.0,3634.67,2
TX000026,AC00041,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,Retired,2024-11-04 08:09:44,246.93,23.0,158.0,5.0,673.3499999999999,1
TX000027,AC00441,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,Student,2024-11-04 08:11:38,40.32,37.0,95.0,1.0,2686.52,1
TX000028,AC00057,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,Engineer,2024-11-04 08:11:59,127.45,44.0,197.0,1.0,1772.06,1
TX000029,AC00390,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,Doctor,2024-11-04 08:11:22,56.17,27.0,283.0,1.0,1351.69,1
TX000030,AC00313,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,Student,2024-11-04 08:08:30,28.31,59.0,20.0,1.0,8334.47,0
TX000031,AC00367,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,Doctor,2024-11-04 08:09:17,59.12,29.0,257.0,1.0,9823.64,0
TX000032,AC00291,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,Doctor,2024-11-04 08:06:58,396.45,49.0,168.00000000000003,3.0,9690.15,0
TX000033,AC00060,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,Engineer,2024-11-04 08:11:13,877.81,22.0,150.0,1.0,399.0,1
TX000034,AC00359,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,Student,2024-11-04 08:07:50,255.26,45.0,50.00000000000001,1.0,14815.87,3
TX000035,AC00365,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,Doctor,2024-11-04 08:10:51,124.76,49.0,45.0,1.0,5764.72,2
TX000036,AC00267,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,Engineer,2024-11-04 08:06:23,78.13,26.0,145.0,1.0,900.61,1
TX000037,AC00404,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,Student,2024-11-04 08:12:18,795.31,66.0,90.0,2.0,7914.879999999999,0
TX000038,AC00202,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,Retired,2024-11-04 08:11:15,335.63,55.0,215.99999999999997,1.0,1019.39,1
TX000039,AC00478,2023-10-12 17:07:40,Debit,Mesa,D000077,49.29.37.185,M048,ATM,Doctor,2024-11-04 08:11:17,328.47,63.0,119.0,1.0,4323.66,2
TX000040,AC00405,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,Retired,2024-11-04 08:07:32,34.02,38.0,18.999999999999996,1.0,14214.48,3
TX000041,AC00421,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,Retired,2024-11-04 08:07:31,241.42000000000002,57.0,116.00000000000001,1.0,13357.02,3
TX000042,AC00480,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,Doctor,2024-11-04 08:11:45,55.32,19.0,117.0,1.0,241.79000000000002,1
TX000043,AC00120,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,Doctor,2024-11-04 08:09:03,304.31,27.0,33.0,1.0,868.61,1
TX000044,AC00117,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,Student,2024-11-04 08:08:03,435.27,74.0,90.0,1.0,4673.28,2
TX000045,AC00011,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,Student,2024-11-04 08:09:53,164.49,26.0,75.0,1.0,1509.27,1
,AC00401,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,Retired,2024-11-04 08:11:12,510.23999999999995,19.0,105.0,1.0,781.7,1
TX000047,AC00282,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,Student,2024-11-04 08:10:33,626.9,26.0,138.0,1.0,265.51,1
TX000048,AC00439,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,Student,2024-11-04 08:11:35,22.01,41.0,175.0,1.0,1335.09,1
TX000049,AC00296,2023-11-27 16:45:57,Debit,Denver,D000284,93.146.251.20,M023,Online,Student,2024-11-04 08:07:24,425.34,69.0,121.0,1.0,3907.5399999999995,2
TX000050,AC00471,2023-03-27 16:45:18,Credit,Sacramento,,124.6.134.78,M055,Online,Engineer,2024-11-04 08:06:31,424.56,51.0,264.0,1.0,5183.85,2
TX000051,AC00159,2023-02-13 16:59:39,Credit,Kansas City,D000661,139.23.212.102,M040,Online,Retired,2024-11-04 08:07:07,85.43,67.0,145.0,1.0,14904.9,3
TX000052,AC00482,2023-02-21 17:45:55,Debit,Omaha,D000598,179.43.245.131,M015,Online,Engineer,,169.5,28.0,142.0,1.0,918.8799999999999,1
TX000053,AC00115,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,Doctor,2024-11-04 08:06:45,104.63,62.0,90.0,1.0,4477.78,2
TX000054,AC00055,2023-09-07 16:51:27,Debit,San Diego,D000442,42.219.228.159,M036,Branch,Student,2024-11-04 08:08:58,316.95,25.0,83.0,1.0,1324.03,1
TX000055,AC00419,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,Retired,2024-11-04 08:10:42,60.540000000000006,57.0,52.00000000000001,1.0,3534.93,2
TX000056,AC00374,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,Student,2024-11-04 08:09:15,292.56,68.0,61.00000000000001,1.0,4638.37,2
TX000057,AC00271,2023-12-14 17:52:37,Credit,Columbus,D000462,1.198.76.182,M095,Branch,Retired,2024-11-04 08:09:57,386.52,48.0,28.0,1.0,5630.61,2
TX000058,AC00456,2023-03-03 17:37:41,Credit,Dallas,D000311,198.73.211.114,M075,Branch,Retired,2024-11-04 08:07:49,112.07,23.0,51.00000000000001,1.0,930.3,1
TX000059,AC00143,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,Engineer,2024-11-04 08:07:09,568.52,46.0,151.99999999999997,1.0,5499.91,2
TX000060,AC00427,2023-10-02 16:35:22,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,Student,2024-11-04 08:11:37,263.99,79.0,227.0,2.0,4175.02,2
TX000061,AC00438,2023-10-06 18:44:37,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,Engineer,,349.64,48.0,226.0,1.0,6651.62,2
TX000062,AC00002,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,Retired,2024-11-04 08:11:03,601.4,56.0,104.0,1.0,8458.29,0
TX000063,AC00425,2023-11-07 16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,Engineer,2024-11-04 08:08:09,5.77,50.0,123.99999999999999,1.0,13988.12,3
TX000064,AC00325,2023-05-30 17:43:25,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,Engineer,2024-11-04 08:08:01,201.33,42.0,186.0,1.0,2585.07,1
TX000065,AC00434,2023-11-02 16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,Doctor,2024-11-04 08:11:32,298.42,56.0,225.0,1.0,3014.75,1
TX000066,AC00242,2023-03-29 17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,Engineer,2024-11-04 08:11:41,521.06,25.0,128.0,1.0,1951.42,1
TX000067,AC00319,2023-04-25 16:11:24,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,Retired,2024-11-04 08:10:12,117.28,60.0,16.0,1.0,3665.77,2
TX000068,AC00460,2023-04-18 18:40:47,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,Student,2024-11-04 08:12:10,189.12,32.0,103.0,1.0,977.01,1
TX000069,AC00461,2023-02-09 16:34:53,Credit,Austin,D000128,46.150.175.171,M057,Online,Engineer,2024-11-04 08:07:11,133.55,44.0,220.0,1.0,3846.2800000000007,2
TX000070,AC00395,2023-11-13 16:42:28,Credit,Indianapolis,D000684,125.89.163.224,M040,,Engineer,2024-11-04 08:08:42,143.21,35.0,135.0,1.0,6374.82,2
TX000071,AC00217,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,Engineer,2024-11-04 08:10:18,24.77,62.0,55.0,1.0,5866.01,2
TX000072,AC00053,2023-01-13 17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,Engineer,2024-11-04 08:09:26,233.92,26.0,280.0,1.0,6537.62,2
TX000073,AC00282,2023-07-04 18:20:33,Debit,Boston,D000180,9.230.41.239,M070,ATM,Retired,2024-11-04 08:12:15,1212.51,20.0,24.0,1.0,605.9499999999999,1
TX000074,AC00110,2023-10-20 16:54:28,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,Student,2024-11-04 08:08:45,232.12,37.0,51.00000000000001,1.0,6689.87,2
TX000075,AC00265,2023-10-04 16:36:29,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,Student,2024-11-04 08:06:51,91.53,44.0,69.00000000000001,1.0,14676.05,3
TX000076,AC00239,2023-12-28 17:31:03,Debit,,D000073,156.173.170.140,M066,ATM,Engineer,2024-11-04 08:09:17,120.29,19.0,77.0,1.0,1362.39,1
TX000077,AC00007,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,Student,2024-11-04 08:08:22,174.25,50.0,67.0,1.0,10528.34,0
TX000078,AC00022,2023-03-13 16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,Doctor,2024-11-04 08:11:36,183.71,38.0,102.0,1.0,552.52,1
TX000079,AC00464,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,Student,2024-11-04 08:06:50,345.39,58.0,80.0,1.0,6451.96,2
TX000080,AC00014,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,Doctor,2024-11-04 08:10:29,922.55,63.0,87.0,1.0,4715.84,2
TX000081,AC00406,2023-06-19 18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,Engineer,2024-11-04 08:09:51,259.91,49.0,170.0,1.0,7176.86,0
TX000082,AC00445,,Credit,Phoenix,D000097,131.41.45.13,M081,,Engineer,2024-11-04 08:08:16,154.71,34.0,157.0,1.0,1523.72,1
TX000083,AC00236,2023-01-23 16:32:48,Debit,Detroit,D000206,21.97.154.92,M004,ATM,Retired,2024-11-04 08:11:07,1340.19,54.0,30.0,1.0,8654.28,0
TX000084,AC00220,2023-11-06 16:34:10,Debit,Denver,D000616,36.13.239.172,M028,Online,Doctor,2024-11-04 08:09:38,24.56,64.0,69.00000000000001,1.0,9869.93,0
TX000085,AC00140,2023-07-03 16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,Doctor,2024-11-04 08:09:42,568.07,48.0,115.0,1.0,10556.81,0
TX000086,AC00098,2023-09-29 17:22:10,Credit,Austin,D000574,165.114.224.47,M012,Online,Engineer,2024-11-04 08:06:53,9.61,58.0,179.0,1.0,12883.91,3
TX000087,AC00303,2023-10-20 17:27:35,Debit,Mesa,D000428,16.131.3.140,M033,Branch,Doctor,2024-11-04 08:12:05,392.96,24.0,100.00000000000001,1.0,791.65,1
TX000088,AC00373,2023-08-28 17:03:53,,Washington,D000018,8.243.4.138,M054,ATM,Doctor,2024-11-04 08:07:32,716.93,60.0,34.0,1.0,4064.02,2
TX000089,AC00438,2023-06-22 18:37:29,Credit,San Diego,D000453,132.127.5.187,M043,Online,Doctor,2024-11-04 08:09:10,223.85,53.0,55.0,4.0,2929.91,1
TX000090,AC00437,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,Student,2024-11-04 08:08:38,230.66,21.0,135.0,1.0,618.05,1
TX000091,AC00106,2023-09-14 16:49:33,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,Retired,2024-11-04 08:08:12,644.17,29.0,72.0,1.0,1143.52,1
TX000092,AC00310,2023-10-02 16:36:10,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,Engineer,2024-11-04 08:08:01,508.67999999999995,51.0,127.0,1.0,7708.41,0
TX000093,AC00149,2023-03-27 18:16:04,Debit,Houston,D000526,60.43.160.195,M049,Branch,Student,2024-11-04 08:10:44,858.63,27.0,185.0,1.0,1872.96,1
TX000094,AC00373,2023-12-21 16:37:03,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,Student,2024-11-04 08:08:21,25.36,57.0,78.0,1.0,201.04,1
TX000095,AC00425,2023-03-02 16:05:09,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,Engineer,2024-11-04 08:08:04,147.62,71.0,133.0,1.0,2115.8,1
TX000096,AC00010,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,Engineer,2024-11-04 08:09:32,115.02,37.0,175.0,1.0,7643.66,0
TX000097,AC00348,2023-04-18 17:27:23,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,Student,2024-11-04 08:10:47,383.37,30.0,24.0,1.0,8901.93,0
TX000098,AC00011,2023-07-17 17:08:24,Debit,Louisville,D000192,62.152.134.92,M007,ATM,Engineer,2024-11-04 08:11:05,98.54,20.0,167.0,1.0,9383.43,0
TX000099,AC00453,2023-09-01 17:26:02,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,Retired,2024-11-04 08:07:22,83.24,55.0,164.0,1.0,1181.31,1
TX000100,AC00178,2023-09-11 16:19:04,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,Doctor,2024-11-04 08:08:38,196.16,27.0,146.0,1.0,9418.86,0
TX000101,AC00265,2023-01-24 17:23:56,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,Engineer,2024-11-04 08:11:07,129.94,32.0,235.0,1.0,7954.919999999999,0
,AC00018,2023-08-11 16:18:46,Credit,El Paso,D000528,34.125.226.63,M095,Online,Student,2024-11-04 08:10:02,306.9,46.0,51.00000000000001,1.0,9418.08,0
TX000103,AC00075,2023-10-16 18:35:11,,Fort Worth,D000607,21.28.32.1,M009,Branch,Doctor,2024-11-04 08:10:52,114.98,59.0,80.0,1.0,6144.68,2
TX000104,AC00464,2023-02-24 16:29:23,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,Engineer,2024-11-04 08:08:32,756.59,27.0,17.0,1.0,420.65,1
TX000105,AC00170,2023-01-02 16:36:02,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,Engineer,2024-11-04 08:06:35,503.76000000000005,22.0,35.0,1.0,447.82,1
TX000106,AC00235,2023-11-30 16:31:03,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,Engineer,2024-11-04 08:10:48,143.03,63.0,147.0,1.0,7981.450000000001,0
TX000107,AC00013,2023-11-01 16:52:01,Debit,Seattle,D000182,115.218.48.83,M032,Online,Retired,2024-11-04 08:09:24,1045.22,53.0,73.0,1.0,1829.9,1
TX000108,AC00397,2023-03-06 16:47:02,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,Student,2024-11-04 08:11:40,245.54,25.0,180.0,1.0,985.0600000000001,1
TX000109,AC00423,2023-11-27 18:32:49,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,Student,2024-11-04 08:09:22,254.37000000000003,51.0,174.0,1.0,8849.26,0
TX000110,AC00154,2023-07-31 16:37:46,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,Retired,2024-11-04 08:10:42,213.76,78.0,282.0,1.0,3528.72,2
,AC00068,2023-11-22 16:13:39,Debit,Columbus,D000400,77.7.223.184,M077,ATM,Retired,2024-11-04 08:07:35,327.86,40.0,104.0,1.0,480.16,1
TX000112,AC00318,2023-03-21 16:29:31,,New York,D000536,44.197.126.59,M089,ATM,Student,2024-11-04 08:10:26,2.5,47.0,107.0,1.0,12145.27,3
TX000113,AC00396,2023-04-20 18:26:50,Credit,Dallas,D000477,143.212.47.226,M012,Online,Engineer,2024-11-04 08:06:56,300.08,68.0,47.0,1.0,13546.75,3
TX000114,AC00121,2023-03-01 17:52:14,Credit,Dallas,D000574,51.250.122.123,M009,ATM,Retired,2024-11-04 08:09:36,56.98,43.0,122.0,2.0,5688.37,2
TX000115,AC00336,2023-02-10 16:52:48,Debit,Fresno,D000655,188.124.181.12,M051,Online,Engineer,2024-11-04 08:06:30,407.65,26.0,61.99999999999999,1.0,8346.64,0
TX000116,AC00468,2023-07-21 16:43:11,Debit,San Diego,D000673,44.73.3.217,M042,Online,Doctor,2024-11-04 08:09:53,115.83,39.0,167.0,1.0,6481.04,2
TX000117,AC00282,2023-10-09 17:02:43,Credit,Austin,D000266,85.240.254.83,M040,Online,Doctor,2024-11-04 08:12:18,53.57,69.0,121.0,1.0,1651.33,1
TX000118,AC00498,2024-01-01 16:34:10,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,Engineer,2024-11-04 08:07:42,63.34,46.0,165.0,1.0,11174.94,3
TX000119,AC00085,2023-07-07 16:11:38,Debit,Boston,D000544,98.255.160.110,M041,Online,Engineer,,317.87,27.0,91.0,1.0,145.5,1
TX000120,AC00092,2023-05-22 17:09:52,Debit,Fresno,D000663,124.6.134.78,M086,Branch,Engineer,2024-11-04 08:10:02,331.65,41.0,61.00000000000001,1.0,4172.57,2
TX000121,AC00295,2023-08-16 16:17:12,Debit,Houston,D000489,45.64.74.86,M025,ATM,Retired,2024-11-04 08:08:43,5.04,56.0,41.0,1.0,5558.36,2
TX000122,AC00358,2023-11-17 16:02:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,Doctor,2024-11-04 08:10:13,214.54,70.0,247.0,1.0,11151.53,3
TX000123,AC00311,,Debit,Detroit,D000314,79.227.202.117,M076,Online,Student,2024-11-04 08:11:32,598.81,57.0,158.0,1.0,1415.52,1
TX000124,AC00066,2023-08-25 17:26:07,Debit,Portland,D000037,26.240.219.199,M006,Online,Engineer,2024-11-04 08:11:00,841.28,26.0,80.0,1.0,1103.64,1
TX000125,AC00340,2023-11-27 16:38:34,Debit,Washington,D000021,63.67.150.226,M001,ATM,Retired,2024-11-04 08:10:48,38.15,26.0,107.99999999999999,1.0,303.68,1
TX000126,AC00284,2023-08-04 17:46:44,Credit,Detroit,D000112,195.226.203.234,M026,Online,Doctor,2024-11-04 08:11:56,1036.66,58.0,144.0,1.0,5541.57,2
TX000127,AC00208,2023-09-04 16:48:35,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,Doctor,2024-11-04 08:10:13,124.72,33.0,105.0,1.0,6309.8,2
TX000128,AC00176,2023-08-09 17:34:26,Debit,Tucson,D000276,101.223.82.253,M083,Online,Student,2024-11-04 08:09:58,302.45,78.0,40.0,1.0,5133.61,2
TX000129,AC00053,2023-09-07 16:07:40,Debit,Mesa,D000687,77.21.150.75,M005,Online,Student,2024-11-04 08:07:42,208.04,47.0,273.0,1.0,9344.98,0
TX000130,AC00320,2023-07-11 16:39:53,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,Doctor,2024-11-04 08:09:24,5.77,23.0,254.0,1.0,1117.97,1
TX000131,AC00382,2023-07-03 17:14:07,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,Engineer,2024-11-04 08:07:25,381.33,56.0,75.0,1.0,11835.35,3
TX000132,AC00384,2023-09-25 17:13:36,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,Retired,2024-11-04 08:11:55,16.16,50.0,123.99999999999999,1.0,14401.17,3
TX000133,AC00203,2023-11-20 17:10:02,Debit,Louisville,D000339,65.27.212.129,M055,Online,Engineer,2024-11-04 08:08:45,486.0799999999999,18.0,68.00000000000001,1.0,1748.69,1
TX000134,AC00498,2023-11-17 17:27:07,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,Student,2024-11-04 08:10:53,336.39,21.0,18.0,1.0,1000.46,1
TX000135,AC00349,2023-08-21 16:46:05,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,Doctor,2024-11-04 08:09:32,997.4299999999998,69.0,118.0,1.0,6810.05,2
TX000136,AC00177,2023-10-16 16:59:36,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,Doctor,2024-11-04 08:11:59,234.57,23.0,120.0,1.0,263.98,1
TX000137,AC00284,2023-06-20 17:21:50,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,Student,2024-11-04 08:07:03,6.0,30.0,246.0,1.0,5442.76,2
TX000138,AC00272,2023-01-16 16:53:38,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,Student,2024-11-04 08:09:57,1049.92,80.0,21.000000000000004,1.0,2037.85,1
TX000139,AC00405,2023-11-22 16:07:19,Debit,Seattle,D000661,100.4.40.132,M067,Online,Doctor,2024-11-04 08:08:25,227.14,18.0,294.0,1.0,341.94,1
TX000140,AC00385,2023-09-01 16:09:08,Debit,Chicago,D000553,45.182.28.148,M045,Online,Student,2024-11-04 08:08:47,233.74,66.0,17.0,1.0,1066.59,1
TX000141,AC00403,2023-10-23 18:38:15,Debit,Chicago,D000556,18.72.115.111,M090,Online,Doctor,2024-11-04 08:09:43,45.85,20.0,91.99999999999999,1.0,1659.15,1
TX000142,AC00114,2023-10-23 16:50:33,Debit,Detroit,D000522,121.67.144.20,M052,ATM,Retired,2024-11-04 08:10:34,973.3899999999999,77.0,296.0,1.0,2042.22,1
TX000143,AC00163,2023-07-03 17:42:08,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,Student,2024-11-04 08:11:34,415.5,66.0,141.0,1.0,10113.66,0
TX000144,AC00108,2023-10-24 16:41:00,Credit,Oklahoma City,D000600,96.115.67.230,,Online,Retired,2024-11-04 08:11:17,265.76,54.0,91.99999999999999,1.0,4446.17,2
TX000145,AC00397,2023-09-25 16:54:22,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,Retired,2024-11-04 08:07:21,69.4,80.0,113.0,1.0,6452.77,2
TX000146,AC00434,2023-02-16 17:57:10,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,Student,2024-11-04 08:07:24,332.93,35.0,293.0,1.0,2788.2,1
TX000147,AC00385,2023-08-30 17:23:20,Debit,Sacramento,D000292,202.194.199.70,M026,Branch,Retired,2024-11-04 08:11:44,267.9,20.0,160.0,1.0,596.1599999999999,1
TX000148,AC00161,2023-04-13 18:37:48,Debit,New York,D000109,23.92.205.75,M056,Online,Doctor,2024-11-04 08:10:01,496.0299999999999,61.0,265.0,1.0,12904.66,3
TX000149,AC00333,2023-07-28 16:29:23,Debit,Memphis,D000330,140.212.253.222,M077,ATM,Doctor,2024-11-04 08:10:23,376.26,37.0,245.0,1.0,9062.4,0
